BubbleName	BubbleType	UserType	Members	Admins	Invitees
Oxford Classifieds	resource	NetID	HFMIGDO	HFMIGDO	
Oxford Classifieds	resource	NetID	EKIELY	JMOON	
Oxford Classifieds	resource	NetID	BNWILL7		
Oxford Classifieds	resource	NetID	TPREISE		
Oxford Classifieds	resource	NetID	HDREID		
Oxford Classifieds	resource	NetID	CJHOLLA		
Oxford Classifieds	resource	NetID	KYMCINT		
Oxford Classifieds	resource	NetID	DGITOME		
Oxford Classifieds	resource	NetID	MCLIFT2		
Oxford Classifieds	resource	NetID	LLEVAN2		
Oxford Classifieds	resource	NetID	BFELTY		
Oxford Classifieds	resource	NetID	KSMIT67		
Oxford Classifieds	resource	NetID	RSRAJEN		
Oxford Classifieds	resource	NetID	STHEALY		
Oxford Classifieds	resource	NetID	JLEE855		
Oxford Classifieds	resource	NetID	XLIN9		
Oxford Classifieds	resource	NetID	PDGANDH		
Oxford Classifieds	resource	NetID	MSHETTA		
Oxford Classifieds	resource	NetID	JLEE643		
Oxford Classifieds	resource	NetID	SPAR262		
Oxford Classifieds	resource	NetID	KPARK55		
Oxford Classifieds	resource	NetID	TWKIM3		
Oxford Classifieds	resource	NetID	JBELK		
Oxford Classifieds	resource	NetID	RSHIGHT		
Oxford Classifieds	resource	NetID	RBHIMA3		
Oxford Classifieds	resource	NetID	HSONG32		
Oxford Classifieds	resource	NetID	JBANG5		
Oxford Classifieds	resource	NetID	JESOUTH		
Oxford Classifieds	resource	NetID	SHWAN37		
Oxford Classifieds	resource	NetID	CCGATES		
Oxford Classifieds	resource	NetID	CRMCMUR		
Oxford Classifieds	resource	NetID	JSHAH9		
Oxford Classifieds	resource	NetID	ADMCCLI		
Oxford Classifieds	resource	NetID	ATRIGGS		
Oxford Classifieds	resource	NetID	JWU58		
Oxford Classifieds	resource	NetID	ERODR23		
Oxford Classifieds	resource	NetID	KLEDWAR		
Oxford Classifieds	resource	NetID	KLBYRD		
Oxford Classifieds	resource	NetID	BKALTSH		
Oxford Classifieds	resource	NetID	AFULLE6		
Oxford Classifieds	resource	NetID	BGAGE		
Oxford Classifieds	resource	NetID	DTMCFAR		
Oxford Classifieds	resource	NetID	YSHEN58		
Oxford Classifieds	resource	NetID	DSANTAN		
Oxford Classifieds	resource	NetID	AVUPPUL		
Oxford Classifieds	resource	NetID	JTHAN2		
Oxford Classifieds	resource	NetID	MPATALA		
Oxford Classifieds	resource	NetID	AVNUNEZ		
Oxford Classifieds	resource	NetID	MWJENKI		
Oxford Classifieds	resource	NetID	CLANTHO		
Oxford Classifieds	resource	NetID	SODHAV		
Oxford Classifieds	resource	NetID	RDACEVE		
Oxford Classifieds	resource	NetID	JCAI26		
Oxford Classifieds	resource	NetID	GLAINS		
Oxford Classifieds	resource	NetID	PPENTZA		
Oxford Classifieds	resource	NetID	EREIGEL		
Oxford Classifieds	resource	NetID	AVRANIC		
Oxford Classifieds	resource	NetID	AKOSOKO		
Oxford Classifieds	resource	NetID	MJANDE5		
Oxford Classifieds	resource	NetID	PCLAYT2		
Oxford Classifieds	resource	NetID	KPATE57		
Oxford Classifieds	resource	NetID	MAMANNI		
Oxford Classifieds	resource	NetID	WHINDMA		
Oxford Classifieds	resource	NetID	LMAN		
Oxford Classifieds	resource	NetID	ZLI83		
Oxford Classifieds	resource	NetID	LGOHARI		
Oxford Classifieds	resource	NetID	HPCHAPP		
Oxford Classifieds	resource	NetID	AHNASH		
Oxford Classifieds	resource	NetID	JEROSE4		
Oxford Classifieds	resource	NetID	OSELWIT		
Oxford Classifieds	resource	NetID	CKWATTS		
Oxford Classifieds	resource	NetID	HDONAHU		
Oxford Classifieds	resource	NetID	EHUYETT		
Oxford Classifieds	resource	NetID	WWRIGH3		
Oxford Classifieds	resource	NetID	MGHIA		
Oxford Classifieds	resource	NetID	CADAVI6		
Oxford Classifieds	resource	NetID	SKODOUS		
Oxford Classifieds	resource	NetID	AFLEWI2		
Oxford Classifieds	resource	NetID	SJLEWI2		
Oxford Classifieds	resource	NetID	TACRAIG		
Oxford Classifieds	resource	NetID	JHORNSE		
Oxford Classifieds	resource	NetID	JGOWLER		
Oxford Classifieds	resource	NetID	RGOODM2		
Oxford Classifieds	resource	NetID	HHALEME		
Oxford Classifieds	resource	NetID	CWMCCOR		
Oxford Classifieds	resource	NetID	OMRAHMA		
Oxford Classifieds	resource	NetID	MALCAID		
Oxford Classifieds	resource	NetID	ATRANLE		
Oxford Classifieds	resource	NetID	APHUNTE		
Oxford Classifieds	resource	NetID	MJCHAN2		
Oxford Classifieds	resource	NetID	KECOOP3		
Oxford Classifieds	resource	NetID	SKALANI		
Oxford Classifieds	resource	NetID	SVALLIA		
Oxford Classifieds	resource	NetID	KTHIREY		
Oxford Classifieds	resource	NetID	SJASAN2		
Oxford Classifieds	resource	NetID	CWOODS6		
Oxford Classifieds	resource	NetID	NTGIBSO		
Oxford Classifieds	resource	NetID	DCHENEY		
Oxford Classifieds	resource	NetID	OCLARKE		
Oxford Classifieds	resource	NetID	DDANIE9		
Oxford Classifieds	resource	NetID	GODUFFY		
Oxford Classifieds	resource	NetID	JWELCO2		
Oxford Classifieds	resource	NetID	MTAMASE		
Oxford Classifieds	resource	NetID	MNESTOR		
Oxford Classifieds	resource	NetID	EASCHEC		
Oxford Classifieds	resource	NetID	SMQUEEN		
Oxford Classifieds	resource	NetID	WMMORRI		
Oxford Classifieds	resource	NetID	STMOORE		
Oxford Classifieds	resource	NetID	SGWILDE		
Oxford Classifieds	resource	NetID	SHSCHLA		
Oxford Classifieds	resource	NetID	HMAHMED		
Oxford Classifieds	resource	NetID	ACANE2		
Oxford Classifieds	resource	NetID	MKANTAR		
Oxford Classifieds	resource	NetID	SJUNG45		
Oxford Classifieds	resource	NetID	IMMOHIU		
Oxford Classifieds	resource	NetID	MAHMAD4		
Oxford Classifieds	resource	NetID	JCHINNA		
Oxford Classifieds	resource	NetID	LLO2		
Oxford Classifieds	resource	NetID	KOTAYLO		
Oxford Classifieds	resource	NetID	SMKOLLI		
Oxford Classifieds	resource	NetID	GSEFIAN		
Oxford Classifieds	resource	NetID	JRUTLE2		
Oxford Classifieds	resource	NetID	CEBROW5		
Oxford Classifieds	resource	NetID	YTAN8		
Oxford Classifieds	resource	NetID	MJPERRI		
Oxford Classifieds	resource	NetID	MCAPO		
Oxford Classifieds	resource	NetID	AOSIOGB		
Oxford Classifieds	resource	NetID	WZHAI2		
Oxford Classifieds	resource	NetID	DSHAUGH		
Oxford Classifieds	resource	NetID	KREDDY8		
Oxford Classifieds	resource	NetID	DHANFEL		
Oxford Classifieds	resource	NetID	JPAUL4		
Oxford Classifieds	resource	NetID	MBIGG		
Oxford Classifieds	resource	NetID	HDHAMAN		
Oxford Classifieds	resource	NetID	ZMOUNTC		
Oxford Classifieds	resource	NetID	SJTAJUD		
Oxford Classifieds	resource	NetID	NAZAMAN		
Oxford Classifieds	resource	NetID	DKHURAN		
Oxford Classifieds	resource	NetID	AREIBMA		
Oxford Classifieds	resource	NetID	CTO2		
Oxford Classifieds	resource	NetID	YXU93		
Oxford Classifieds	resource	NetID	HZENG9		
Oxford Classifieds	resource	NetID	PSRIDHA		
Oxford Classifieds	resource	NetID	EDING		
Oxford Classifieds	resource	NetID	NSALAZ2		
Oxford Classifieds	resource	NetID	BDEBORD		
Oxford Classifieds	resource	NetID	SLAPLAN		
Oxford Classifieds	resource	NetID	ETAFESS		
Oxford Classifieds	resource	NetID	MKCHOUD		
Oxford Classifieds	resource	NetID	SMEDAKK		
Oxford Classifieds	resource	NetID	SRJACOB		
Oxford Classifieds	resource	NetID	RALVARA		
Oxford Classifieds	resource	NetID	SSTOFBE		
Oxford Classifieds	resource	NetID	ZBOISE		
Oxford Classifieds	resource	NetID	JLENTJE		
Oxford Classifieds	resource	NetID	KKCHI		
Oxford Classifieds	resource	NetID	PCILIAX		
Oxford Classifieds	resource	NetID	MJONE32		
Oxford Classifieds	resource	NetID	AGWILL6		
Oxford Classifieds	resource	NetID	JGREYSE		
Oxford Classifieds	resource	NetID	TRGOLDB		
Oxford Classifieds	resource	NetID	GREAVIS		
Oxford Classifieds	resource	NetID	JASHUST		
Oxford Classifieds	resource	NetID	EDEGLER		
Oxford Classifieds	resource	NetID	JREISIN		
Oxford Classifieds	resource	NetID	DWROSEN		
Oxford Classifieds	resource	NetID	LDECKER		
Oxford Classifieds	resource	NetID	RSTONE5		
Oxford Classifieds	resource	NetID	LTURNE9		
Oxford Classifieds	resource	NetID	REPARKS		
Oxford Classifieds	resource	NetID	MBORTH		
Oxford Classifieds	resource	NetID	LHECKAT		
Oxford Classifieds	resource	NetID	ETCHENG		
Oxford Classifieds	resource	NetID	MCOSTA3		
Oxford Classifieds	resource	NetID	JFTAMBA		
Oxford Classifieds	resource	NetID	CASTALE		
Oxford Classifieds	resource	NetID	DKIBROM		
Oxford Classifieds	resource	NetID	IKERSCH		
Oxford Classifieds	resource	NetID	VATULUR		
Oxford Classifieds	resource	NetID	SRAO24		
Oxford Classifieds	resource	NetID	JESPRIT		
Oxford Classifieds	resource	NetID	YHAN45		
Oxford Classifieds	resource	NetID	ACONNO3		
Oxford Classifieds	resource	NetID	SOKORO3		
Oxford Classifieds	resource	NetID	EDONG3		
Oxford Classifieds	resource	NetID	MELEAHY		
Oxford Classifieds	resource	NetID	KHCHAN2		
Oxford Classifieds	resource	NetID	JBRONIE		
Oxford Classifieds	resource	NetID	SPERLIN		
Oxford Classifieds	resource	NetID	CTWILL2		
Oxford Classifieds	resource	NetID	SYADLAP		
Oxford Classifieds	resource	NetID	HJLEE22		
Oxford Classifieds	resource	NetID	LMFAN		
Oxford Classifieds	resource	NetID	FFREEMA		
Oxford Classifieds	resource	NetID	KBILGOR		
Oxford Classifieds	resource	NetID	LDIETTE		
Oxford Classifieds	resource	NetID	SSRAJU		
Oxford Classifieds	resource	NetID	ZJANOTK		
Oxford Classifieds	resource	NetID	MOHOLME		
Oxford Classifieds	resource	NetID	JMAK		
Oxford Classifieds	resource	NetID	HHAMMET		
Oxford Classifieds	resource	NetID	PMAJD		
Oxford Classifieds	resource	NetID	BDIXON3		
Oxford Classifieds	resource	NetID	WCOBB		
Oxford Classifieds	resource	NetID	RSTORMS		
Oxford Classifieds	resource	NetID	BABURTO		
Oxford Classifieds	resource	NetID	GAVRAMO		
Oxford Classifieds	resource	NetID	FYANG28		
Oxford Classifieds	resource	NetID	JEJOSE		
Oxford Classifieds	resource	NetID	EHLEE8		
Oxford Classifieds	resource	NetID	TLATT		
Oxford Classifieds	resource	NetID	HYOKELE		
Oxford Classifieds	resource	NetID	GBARTOL		
Oxford Classifieds	resource	NetID	JOFREEM		
Oxford Classifieds	resource	NetID	AROSE34		
Oxford Classifieds	resource	NetID	SNAG3		
Oxford Classifieds	resource	NetID	JYOSEN		
Oxford Classifieds	resource	NetID	KWONG23		
Oxford Classifieds	resource	NetID	JCHYLIN		
Oxford Classifieds	resource	NetID	CZIMM		
Oxford Classifieds	resource	NetID	VSERED2		
Oxford Classifieds	resource	NetID	JROSE36		
Oxford Classifieds	resource	NetID	KDCASTE		
Oxford Classifieds	resource	NetID	KCOUCH		
Oxford Classifieds	resource	NetID	MBLEIBE		
Oxford Classifieds	resource	NetID	KCHOW4		
Oxford Classifieds	resource	NetID	SSAHANI		
Oxford Classifieds	resource	NetID	YKHANSA		
Oxford Classifieds	resource	NetID	NGGRAHA		
Oxford Classifieds	resource	NetID	GSHULER		
Oxford Classifieds	resource	NetID	RDOSI		
Oxford Classifieds	resource	NetID	CSLIU		
Oxford Classifieds	resource	NetID	DREDDY4		
Oxford Classifieds	resource	NetID	JCHE282		
Oxford Classifieds	resource	NetID	ZWENZ		
Oxford Classifieds	resource	NetID	RDMUKHE		
Oxford Classifieds	resource	NetID	MATAN		
Oxford Classifieds	resource	NetID	JEJARAM		
Oxford Classifieds	resource	NetID	DJPARK7		
Oxford Classifieds	resource	NetID	BJBUCKL		
Oxford Classifieds	resource	NetID	NZHENG7		
Oxford Classifieds	resource	NetID	CHUNTE6		
Oxford Classifieds	resource	NetID	JAGILMO		
Oxford Classifieds	resource	NetID	YNHO2		
Oxford Classifieds	resource	NetID	EBAI		
Oxford Classifieds	resource	NetID	LGALARZ		
Oxford Classifieds	resource	NetID	KMELISH		
Oxford Classifieds	resource	NetID	AJRIEFK		
Oxford Classifieds	resource	NetID	AFLOOD		
Oxford Classifieds	resource	NetID	JCMCKER		
Oxford Classifieds	resource	NetID	YAHN8		
Oxford Classifieds	resource	NetID	MARTIS		
Oxford Classifieds	resource	NetID	LKWINST		
Oxford Classifieds	resource	NetID	MWATERB		
Oxford Classifieds	resource	NetID	GLIM6		
Oxford Classifieds	resource	NetID	CJUNG7		
Oxford Classifieds	resource	NetID	HMAZELL		
Oxford Classifieds	resource	NetID	MDCHOI		
Oxford Classifieds	resource	NetID	JTILLM5		
Oxford Classifieds	resource	NetID	VZHAO2		
Oxford Classifieds	resource	NetID	TDLUGOS		
Oxford Classifieds	resource	NetID	ADEROVA		
Oxford Classifieds	resource	NetID	TYOUSSE		
Oxford Classifieds	resource	NetID	DHLI		
Oxford Classifieds	resource	NetID	KALLE24		
Oxford Classifieds	resource	NetID	KPATE68		
Oxford Classifieds	resource	NetID	PWONG4		
Oxford Classifieds	resource	NetID	JSSUTTO		
Oxford Classifieds	resource	NetID	SASTILL		
Oxford Classifieds	resource	NetID	JBOTSCH		
Oxford Classifieds	resource	NetID	CNASSIF		
Oxford Classifieds	resource	NetID	SLWINCH		
Oxford Classifieds	resource	NetID	HYOON47		
Oxford Classifieds	resource	NetID	HWAN265		
Oxford Classifieds	resource	NetID	PDICKSO		
Oxford Classifieds	resource	NetID	OGANGBO		
Oxford Classifieds	resource	NetID	RSCHLUS		
Oxford Classifieds	resource	NetID	AALBER2		
Oxford Classifieds	resource	NetID	KSWIGER		
Oxford Classifieds	resource	NetID	EBALEXA		
Oxford Classifieds	resource	NetID	FTFERNA		
Oxford Classifieds	resource	NetID	SSAHU2		
Oxford Classifieds	resource	NetID	SPUNJWA		
Oxford Classifieds	resource	NetID	AKALIDI		
Oxford Classifieds	resource	NetID	TEVRITT		
Oxford Classifieds	resource	NetID	CISDAHL		
Oxford Classifieds	resource	NetID	YLEE328		
Oxford Classifieds	resource	NetID	JAYOUN3		
Oxford Classifieds	resource	NetID	UDESHMU		
Oxford Classifieds	resource	NetID	DOH25		
Oxford Classifieds	resource	NetID	RLHOWEL		
Oxford Classifieds	resource	NetID	ACARIKE		
Oxford Classifieds	resource	NetID	PMACIAS		
Oxford Classifieds	resource	NetID	CCAI7		
Oxford Classifieds	resource	NetID	SLEE744		
Oxford Classifieds	resource	NetID	CMALEX2		
Oxford Classifieds	resource	NetID	YLEE362		
Oxford Classifieds	resource	NetID	JPAR529		
Oxford Classifieds	resource	NetID	LHILADO		
Oxford Classifieds	resource	NetID	CCALFOR		
Oxford Classifieds	resource	NetID	PMAGHEN		
Oxford Classifieds	resource	NetID	CWILEY2		
Oxford Classifieds	resource	NetID	FMACALU		
Oxford Classifieds	resource	NetID	JCHAPM9		
Oxford Classifieds	resource	NetID	VPANDE		
Oxford Classifieds	resource	NetID	JLE2224		
Oxford Classifieds	resource	NetID	YSHENG4		
Oxford Classifieds	resource	NetID	RHONG6		
Oxford Classifieds	resource	NetID	KROLAND		
Oxford Classifieds	resource	NetID	SBACON		
Oxford Classifieds	resource	NetID	ASTUDWE		
Oxford Classifieds	resource	NetID	SYE8		
Oxford Classifieds	resource	NetID	JBARKL3		
Oxford Classifieds	resource	NetID	DKIM422		
Oxford Classifieds	resource	NetID	AKHANAN		
Oxford Classifieds	resource	NetID	HAIDA		
Oxford Classifieds	resource	NetID	JSOH7		
Oxford Classifieds	resource	NetID	CALOZIE		
Oxford Classifieds	resource	NetID	MMA7		
Oxford Classifieds	resource	NetID	PASHAH2		
Oxford Classifieds	resource	NetID	DHJACK2		
Oxford Classifieds	resource	NetID	NGARTZM		
Oxford Classifieds	resource	NetID	HKEUM		
Oxford Classifieds	resource	NetID	JMMCMUL		
Oxford Classifieds	resource	NetID	YLAI22		
Oxford Classifieds	resource	NetID	RLEE38		
Oxford Classifieds	resource	NetID	CCACCI2		
Oxford Classifieds	resource	NetID	MHAHN7		
Oxford Classifieds	resource	NetID	CEALEX2		
Oxford Classifieds	resource	NetID	QGUO9		
Oxford Classifieds	resource	NetID	ZHOSSA3		
Oxford Classifieds	resource	NetID	AKAMBHA		
Oxford Classifieds	resource	NetID	JSONG55		
Oxford Classifieds	resource	NetID	JVUONG		
Oxford Classifieds	resource	NetID	PTHIRKA		
Oxford Classifieds	resource	NetID	ZJIN9		
Oxford Classifieds	resource	NetID	YMA37		
Oxford Classifieds	resource	NetID	ASUGURO		
Oxford Classifieds	resource	NetID	YTANG44		
