BubbleName	BubbleType	UserType	Members	Admins	Invitees
Ask Dean Moon	resource	NetID	EKIELY	HFMIGDO	
Ask Dean Moon	resource	NetID	BNWILL7	JMOON	
Ask Dean Moon	resource	NetID	TPREISE		
Ask Dean Moon	resource	NetID	HDREID		
Ask Dean Moon	resource	NetID	CJHOLLA		
Ask Dean Moon	resource	NetID	KYMCINT		
Ask Dean Moon	resource	NetID	DGITOME		
Ask Dean Moon	resource	NetID	MCLIFT2		
Ask Dean Moon	resource	NetID	LLEVAN2		
Ask Dean Moon	resource	NetID	BFELTY		
Ask Dean Moon	resource	NetID	KSMIT67		
Ask Dean Moon	resource	NetID	RSRAJEN		
Ask Dean Moon	resource	NetID	STHEALY		
Ask Dean Moon	resource	NetID	JLEE855		
Ask Dean Moon	resource	NetID	XLIN9		
Ask Dean Moon	resource	NetID	PDGANDH		
Ask Dean Moon	resource	NetID	MSHETTA		
Ask Dean Moon	resource	NetID	JLEE643		
Ask Dean Moon	resource	NetID	SPAR262		
Ask Dean Moon	resource	NetID	KPARK55		
Ask Dean Moon	resource	NetID	TWKIM3		
Ask Dean Moon	resource	NetID	JBELK		
Ask Dean Moon	resource	NetID	RSHIGHT		
Ask Dean Moon	resource	NetID	RBHIMA3		
Ask Dean Moon	resource	NetID	HSONG32		
Ask Dean Moon	resource	NetID	JBANG5		
Ask Dean Moon	resource	NetID	JESOUTH		
Ask Dean Moon	resource	NetID	SHWAN37		
Ask Dean Moon	resource	NetID	CCGATES		
Ask Dean Moon	resource	NetID	CRMCMUR		
Ask Dean Moon	resource	NetID	JSHAH9		
Ask Dean Moon	resource	NetID	ADMCCLI		
Ask Dean Moon	resource	NetID	ATRIGGS		
Ask Dean Moon	resource	NetID	JWU58		
Ask Dean Moon	resource	NetID	ERODR23		
Ask Dean Moon	resource	NetID	KLEDWAR		
Ask Dean Moon	resource	NetID	KLBYRD		
Ask Dean Moon	resource	NetID	BKALTSH		
Ask Dean Moon	resource	NetID	AFULLE6		
Ask Dean Moon	resource	NetID	BGAGE		
Ask Dean Moon	resource	NetID	DTMCFAR		
Ask Dean Moon	resource	NetID	YSHEN58		
Ask Dean Moon	resource	NetID	DSANTAN		
Ask Dean Moon	resource	NetID	AVUPPUL		
Ask Dean Moon	resource	NetID	JTHAN2		
Ask Dean Moon	resource	NetID	MPATALA		
Ask Dean Moon	resource	NetID	AVNUNEZ		
Ask Dean Moon	resource	NetID	MWJENKI		
Ask Dean Moon	resource	NetID	CLANTHO		
Ask Dean Moon	resource	NetID	SODHAV		
Ask Dean Moon	resource	NetID	RDACEVE		
Ask Dean Moon	resource	NetID	JCAI26		
Ask Dean Moon	resource	NetID	GLAINS		
Ask Dean Moon	resource	NetID	PPENTZA		
Ask Dean Moon	resource	NetID	EREIGEL		
Ask Dean Moon	resource	NetID	AVRANIC		
Ask Dean Moon	resource	NetID	AKOSOKO		
Ask Dean Moon	resource	NetID	MJANDE5		
Ask Dean Moon	resource	NetID	PCLAYT2		
Ask Dean Moon	resource	NetID	KPATE57		
Ask Dean Moon	resource	NetID	MAMANNI		
Ask Dean Moon	resource	NetID	WHINDMA		
Ask Dean Moon	resource	NetID	LMAN		
Ask Dean Moon	resource	NetID	ZLI83		
Ask Dean Moon	resource	NetID	LGOHARI		
Ask Dean Moon	resource	NetID	HPCHAPP		
Ask Dean Moon	resource	NetID	AHNASH		
Ask Dean Moon	resource	NetID	JEROSE4		
Ask Dean Moon	resource	NetID	OSELWIT		
Ask Dean Moon	resource	NetID	CKWATTS		
Ask Dean Moon	resource	NetID	HDONAHU		
Ask Dean Moon	resource	NetID	EHUYETT		
Ask Dean Moon	resource	NetID	WWRIGH3		
Ask Dean Moon	resource	NetID	MGHIA		
Ask Dean Moon	resource	NetID	CADAVI6		
Ask Dean Moon	resource	NetID	SKODOUS		
Ask Dean Moon	resource	NetID	AFLEWI2		
Ask Dean Moon	resource	NetID	SJLEWI2		
Ask Dean Moon	resource	NetID	TACRAIG		
Ask Dean Moon	resource	NetID	JHORNSE		
Ask Dean Moon	resource	NetID	JGOWLER		
Ask Dean Moon	resource	NetID	RGOODM2		
Ask Dean Moon	resource	NetID	HHALEME		
